payment_id,transaction_id,payment_delay_days,payment_status
103,206,11,Paid
104,207,4,Paid
105,197,10,Paid
106,205,21,Late
107,198,6,Paid
108,201,8,Paid
109,199,3,Paid
110,204,7,Paid
111,202,9,Paid
112,216,16,Late
113,214,10,Paid
114,217,17,Late
115,224,23,Late
116,219,18,Late
117,223,20,Late
118,211,14,Paid
119,218,19,Late
120,220,17,Late
121,227,1,Paid
122,234,7,Paid
123,238,1,Paid
124,226,2,Paid
125,228,6,Paid
126,239,7,Paid
127,231,0,Paid
128,236,11,Paid
129,237,8,Paid
130,235,2,Paid
131,250,12,Paid
132,261,19,Late
133,246,17,Late
134,248,20,Late
135,257,18,Late
136,251,9,Paid
137,255,18,Late
138,259,18,Late
139,254,23,Late
140,244,16,Late
141,252,28,Late
142,264,1,Paid
143,274,17,Late
144,273,9,Paid
145,278,15,Late
146,262,11,Paid
147,275,16,Late
148,270,9,Paid
149,267,5,Paid
150,276,18,Late
151,265,10,Paid
152,282,28,Late
153,280,33,Paid
154,297,20,Late
155,284,28,Late
156,289,23,Late
157,283,25,Late
158,295,26,Late
159,287,18,Late
160,285,22,Late
161,293,32,Paid
162,312,33,Pending
163,310,28,Late
164,302,30,Paid
165,299,27,Late
166,309,35,Paid
167,303,27,Late
168,305,30,Paid
169,300,34,Paid
170,298,25,Late
171,301,36,Paid
172,316,8,Paid
173,318,24,Late
174,321,17,Late
175,323,17,Late
176,322,9,Paid
177,326,16,Late
178,319,13,Paid
179,325,15,Late
180,329,18,Late
181,343,14,Paid
182,348,11,Paid
183,338,11,Paid
184,337,4,Paid
185,341,5,Paid
186,345,18,Late
187,335,6,Paid
188,336,18,Late
189,342,8,Paid
190,359,11,Paid
191,354,16,Late
192,361,17,Late
193,349,10,Paid
194,351,9,Paid
195,352,10,Paid
196,356,12,Paid
197,353,15,Late
198,362,11,Paid
199,358,14,Paid
200,378,13,Paid
201,369,6,Paid
202,367,6,Paid
203,372,0,Paid
204,371,0,Paid
205,373,6,Paid
206,377,4,Paid
207,381,2,Paid
208,382,6,Paid
209,393,26,Late
210,397,32,Paid
211,388,27,Late
212,390,23,Late
213,387,31,Paid
214,389,25,Late
215,385,29,Late
216,391,24,Late
217,405,19,Late
218,406,23,Late
219,410,23,Late
220,413,25,Late
221,412,21,Late
222,408,13,Paid
223,403,20,Late
224,411,26,Late
225,407,21,Late
226,399,21,Late
227,398,27,Late
228,420,25,Late
229,432,21,Late
230,426,28,Late
231,422,26,Late
232,429,24,Late
233,433,28,Late
234,431,31,Paid
235,423,28,Late
236,425,30,Paid
237,446,25,Late
238,442,14,Paid
239,441,17,Late
240,444,13,Paid
241,449,11,Paid
242,438,13,Paid
243,448,13,Paid
244,435,17,Late
245,447,27,Late
246,455,17,Late
247,458,18,Late
248,453,20,Late
249,456,22,Late
250,454,22,Late
251,466,31,Paid
252,461,12,Paid
253,462,13,Paid
254,469,22,Late
255,467,30,Paid
256,468,17,Late
257,464,9,Paid
258,459,27,Late
259,475,30,Pending
260,474,23,Late
261,487,0,Paid
262,492,0,Paid
263,488,5,Paid
264,486,1,Paid
265,485,7,Paid
266,478,0,Paid
267,493,0,Paid
268,484,0,Paid
269,490,3,Paid
270,495,15,Late
271,498,21,Late
272,505,8,Paid
273,503,18,Late
274,500,20,Late
275,497,27,Late
276,494,15,Late
277,509,19,Late
278,506,8,Paid
279,507,6,Paid
280,520,9,Paid
281,523,4,Paid
282,514,10,Paid
283,528,0,Paid
284,516,7,Paid
285,527,14,Paid
286,521,7,Paid
287,522,6,Paid
288,526,5,Paid
289,544,10,Paid
290,539,24,Late
291,538,14,Paid
292,545,20,Late
293,532,10,Paid
294,533,12,Paid
295,546,25,Late
296,531,16,Late
297,537,25,Late
298,563,11,Paid
299,548,2,Paid
300,551,16,Late
301,558,9,Paid
302,555,15,Late
303,557,12,Paid
304,564,4,Paid
305,561,12,Paid
306,549,22,Late
307,559,14,Paid
308,562,11,Paid
309,552,17,Late
310,578,5,Paid
311,572,5,Paid
312,575,0,Paid
313,579,5,Paid
314,567,9,Paid
315,573,0,Paid
316,576,11,Paid
317,571,3,Paid
318,580,0,Paid
319,577,8,Paid
320,590,3,Paid
321,597,8,Paid
322,598,3,Paid
323,594,4,Paid
324,588,7,Paid
325,600,6,Paid
326,596,0,Paid
327,587,0,Paid
328,595,9,Paid
329,603,12,Paid
330,615,10,Paid
331,608,6,Paid
332,614,7,Paid
333,616,2,Paid
334,604,12,Paid
335,610,10,Paid
336,613,8,Paid
337,611,12,Paid
338,605,14,Paid
339,606,23,Late
340,633,19,Late
341,621,32,Pending
342,635,31,Pending
343,626,23,Late
344,631,28,Late
345,625,24,Late
346,634,27,Late
347,637,34,Paid
348,623,30,Paid
349,642,25,Late
350,646,20,Late
351,643,15,Late
352,652,21,Late
353,640,29,Late
354,651,15,Late
355,649,17,Late
356,644,23,Late
357,668,0,Paid
358,655,0,Paid
359,656,0,Paid
360,661,0,Paid
361,663,0,Paid
362,654,4,Paid
363,664,0,Paid
364,662,0,Paid
365,666,0,Paid
366,659,4,Paid
367,675,0,Paid
368,685,0,Paid
369,677,1,Paid
370,682,0,Paid
371,673,3,Paid
372,680,2,Paid
373,676,0,Paid
374,687,6,Paid
375,672,0,Paid
376,674,6,Paid
377,691,24,Late
378,690,22,Late
379,692,23,Late
380,706,13,Paid
381,702,20,Late
382,703,8,Paid
383,698,10,Paid
384,707,19,Late
385,712,11,Paid
386,700,18,Late
387,708,22,Late
388,714,3,Paid
389,716,9,Paid
390,720,17,Late
391,718,26,Late
392,719,23,Late
393,728,10,Paid
394,735,4,Paid
395,723,0,Paid
396,737,10,Paid
397,722,0,Paid
398,725,6,Paid
399,727,12,Paid
400,730,8,Paid
401,752,11,Paid
402,754,7,Paid
403,750,0,Paid
404,742,2,Paid
405,745,1,Paid
406,746,0,Paid
407,747,0,Paid
408,749,0,Paid
409,741,0,Paid
410,760,13,Paid
411,767,11,Paid
412,770,4,Paid
413,757,15,Late
414,765,16,Late
415,762,14,Paid
416,769,11,Paid
417,774,15,Late
418,764,16,Late
419,773,14,Paid
420,792,0,Paid
421,776,1,Paid
422,786,5,Paid
423,777,0,Paid
424,779,10,Paid
425,781,0,Paid
426,787,0,Paid
427,789,0,Paid
428,788,1,Paid
429,790,0,Paid
430,800,7,Paid
431,799,4,Paid
432,809,10,Paid
433,804,14,Paid
434,803,13,Paid
435,801,0,Paid
436,808,20,Late
437,797,11,Paid
438,796,6,Paid
439,810,10,Paid
440,793,10,Paid
441,820,17,Late
442,814,21,Late
443,815,17,Late
444,813,18,Late
445,816,17,Late
446,824,9,Paid
447,825,17,Late
448,822,19,Late
449,836,19,Late
450,830,21,Late
451,828,18,Late
452,834,14,Paid
453,837,21,Late
454,826,10,Paid
455,832,12,Paid
456,855,0,Paid
457,851,7,Paid
458,856,6,Paid
459,841,4,Paid
460,846,7,Paid
461,854,0,Paid
462,848,3,Paid
463,839,1,Paid
464,845,6,Paid
465,847,1,Paid
466,850,0,Paid
467,866,30,Pending
468,858,32,Paid
469,869,24,Late
470,868,27,Late
471,861,22,Late
472,863,15,Late
473,859,29,Late
474,878,24,Late
475,877,22,Late
476,879,11,Paid
477,874,19,Late
478,881,9,Paid
479,882,27,Late
480,886,0,Paid
481,892,7,Paid
482,899,5,Paid
483,888,0,Paid
484,885,0,Paid
485,891,2,Paid
486,897,0,Paid
487,900,1,Paid
488,889,0,Paid
489,901,0,Paid
490,890,0,Paid
491,887,2,Paid
492,903,8,Paid
493,915,10,Paid
494,905,16,Late
495,913,18,Late
496,907,11,Paid
497,910,11,Paid
498,919,15,Late
499,914,6,Paid
500,912,14,Paid
501,917,15,Late
502,921,16,Late
503,927,0,Paid
504,922,1,Paid
505,937,0,Paid
506,929,5,Paid
507,923,7,Paid
508,926,12,Paid
509,934,2,Paid
510,939,2,Paid
511,938,10,Paid
512,930,6,Paid
513,925,11,Paid
514,943,31,Paid
515,947,24,Late
516,941,23,Late
517,945,22,Late
518,940,33,Pending
519,942,35,Paid
520,949,10,Paid
521,950,5,Paid
522,952,6,Paid
523,966,0,Paid
524,957,0,Paid
525,951,5,Paid
526,955,3,Paid
527,963,1,Paid
528,961,2,Paid
529,980,1,Paid
530,981,6,Paid
531,979,6,Paid
532,972,2,Paid
533,976,4,Paid
534,982,2,Paid
535,974,0,Paid
536,967,3,Paid
537,971,0,Paid
538,969,5,Paid
539,997,5,Paid
540,988,12,Paid
541,992,6,Paid
542,985,13,Paid
543,995,10,Paid
544,998,3,Paid
545,1002,13,Paid
546,1000,8,Paid
547,1008,19,Late
548,1009,15,Late
549,1017,16,Late
550,1014,10,Paid
551,1007,12,Paid
552,1016,12,Paid
553,1011,19,Late
554,1018,23,Late
555,1012,10,Paid
556,1010,20,Late
557,1019,4,Paid
558,1031,20,Late
559,1032,21,Late
560,1033,19,Late
561,1037,18,Late
562,1024,28,Late
563,1025,24,Late
564,1027,27,Late
565,1030,29,Late
566,1035,27,Late
567,1056,31,Pending
568,1045,27,Late
569,1041,22,Late
570,1046,33,Paid
571,1052,25,Late
572,1043,23,Late
573,1048,27,Late
574,1039,23,Late
575,1044,25,Late
576,1074,5,Paid
577,1065,5,Paid
578,1073,0,Paid
579,1067,1,Paid
580,1058,9,Paid
581,1057,6,Paid
582,1072,14,Paid
583,1059,9,Paid
584,1069,9,Paid
585,1071,0,Paid
586,1082,17,Late
587,1077,13,Paid
588,1075,11,Paid
589,1086,14,Paid
590,1092,18,Late
591,1079,16,Late
592,1088,9,Paid
593,1083,17,Late
594,1076,10,Paid
595,1091,15,Late
596,1099,20,Late
597,1098,20,Late
598,1100,25,Late
599,1096,16,Late
600,1110,31,Pending
601,1095,12,Paid
602,1101,19,Late
603,1094,23,Late
604,1093,24,Late
605,1120,7,Paid
606,1111,7,Paid
607,1115,10,Paid
608,1114,6,Paid
609,1112,14,Paid
610,1116,12,Paid
611,1127,12,Paid
612,1117,3,Paid
613,1118,7,Paid
614,1132,16,Late
615,1142,12,Paid
616,1129,19,Late
617,1135,15,Late
618,1145,21,Late
619,1143,12,Paid
620,1134,26,Late
621,1144,13,Paid
622,1141,19,Late
623,1139,21,Late
624,1146,15,Late
625,1140,22,Late
626,1152,17,Late
627,1156,31,Pending
628,1161,24,Late
629,1148,21,Late
630,1164,22,Late
631,1154,28,Late
632,1151,21,Late
633,1150,20,Late
634,1158,22,Late
635,1147,18,Late
636,1153,33,Pending
637,1175,17,Late
638,1173,24,Late
639,1168,21,Late
640,1167,15,Late
641,1181,19,Late
642,1174,23,Late
643,1171,19,Late
644,1180,25,Late
645,1187,27,Late
646,1200,26,Late
647,1186,19,Late
648,1189,16,Late
649,1192,18,Late
650,1188,22,Late
651,1198,24,Late
652,1196,11,Paid
653,1193,21,Late
654,1213,17,Late
655,1211,15,Late
656,1215,23,Late
657,1206,19,Late
658,1212,23,Late
659,1216,15,Late
660,1214,21,Late
661,1209,25,Late
662,1204,23,Late
663,1202,11,Paid
664,1203,15,Late
665,1223,24,Late
666,1225,28,Late
667,1224,29,Late
668,1219,21,Late
669,1226,26,Late
670,1238,0,Paid
671,1243,17,Late
672,1232,7,Paid
673,1234,10,Paid
674,1237,8,Paid
675,1229,15,Late
676,1236,0,Paid
677,1249,9,Paid
678,1258,9,Paid
679,1257,7,Paid
680,1247,18,Late
681,1256,5,Paid
682,1246,13,Paid
683,1252,11,Paid
684,1250,16,Late
685,1251,6,Paid
686,1253,6,Paid
687,1260,15,Late
688,1269,22,Late
689,1273,12,Paid
690,1272,17,Late
691,1271,21,Late
692,1279,24,Late
693,1266,16,Late
694,1277,5,Paid
695,1268,22,Late
696,1265,13,Paid
697,1275,9,Paid
698,1284,0,Paid
699,1293,16,Late
700,1296,12,Paid
701,1298,10,Paid
702,1285,18,Late
703,1289,15,Late
704,1290,20,Late
705,1282,5,Paid
706,1300,12,Paid
707,1302,4,Paid
708,1316,11,Paid
709,1306,11,Paid
710,1314,16,Late
711,1310,13,Paid
712,1312,16,Late
713,1315,16,Late
714,1305,23,Late
715,1309,11,Paid
716,1319,23,Late
717,1330,29,Late
718,1333,23,Late
719,1327,35,Paid
720,1320,26,Late
721,1332,25,Late
722,1329,25,Late
723,1342,8,Paid
724,1335,4,Paid
725,1341,1,Paid
726,1337,13,Paid
727,1343,0,Paid
728,1345,5,Paid
729,1347,8,Paid
730,1350,0,Paid
731,1344,7,Paid
732,1349,0,Paid
733,1357,28,Late
734,1355,19,Late
735,1356,27,Late
736,1358,29,Late
737,1360,4,Paid
738,1368,1,Paid
739,1366,0,Paid
740,1365,0,Paid
741,1371,7,Paid
742,1372,0,Paid
743,1374,15,Late
744,1376,24,Late
745,1375,17,Late
746,1382,12,Paid
747,1383,9,Paid
748,1379,14,Paid
749,1390,29,Late
750,1394,31,Pending
751,1399,34,Pending
752,1401,32,Paid
753,1395,29,Late
754,1392,29,Late
755,1388,32,Pending
756,1386,36,Paid
757,1384,30,Pending
758,1396,27,Late
759,1397,25,Late
760,1407,4,Paid
761,1415,15,Late
762,1416,14,Paid
763,1418,14,Paid
764,1413,11,Paid
765,1404,19,Late
766,1408,9,Paid
767,1402,16,Late
768,1409,11,Paid
769,1411,8,Paid
770,1412,14,Paid
771,1423,24,Late
772,1426,23,Late
773,1424,22,Late
774,1437,21,Late
775,1427,33,Pending
776,1430,27,Late
777,1422,25,Late
778,1435,22,Late
779,1450,34,Paid
780,1449,31,Paid
781,1447,29,Late
782,1445,27,Late
783,1455,28,Late
784,1451,13,Paid
785,1452,30,Paid
786,1440,26,Late
787,1453,36,Paid
788,1461,22,Late
789,1463,16,Late
790,1462,21,Late
791,1464,16,Late
792,1465,24,Late
793,1456,23,Late
794,1469,26,Late
795,1471,18,Late
796,1474,13,Paid
797,1478,6,Paid
798,1482,16,Late
799,1486,15,Late
800,1480,15,Late
801,1475,13,Paid
802,1477,15,Late
803,1489,21,Late
804,1472,11,Paid
805,1476,13,Paid
806,1488,7,Paid
807,1490,23,Late
808,1492,12,Paid
809,1495,17,Late
810,1496,10,Paid
811,1497,10,Paid
812,1491,9,Paid
813,1515,0,Paid
814,1500,2,Paid
815,1508,0,Paid
816,1498,7,Paid
817,1499,0,Paid
818,1514,4,Paid
819,1513,0,Paid
820,1511,4,Paid
821,1505,4,Paid
822,1512,2,Paid
823,1520,0,Paid
824,1521,6,Paid
825,1518,0,Paid
826,1532,3,Paid
827,1533,10,Paid
828,1529,8,Paid
829,1523,5,Paid
830,1516,0,Paid
831,1534,15,Late
832,1537,12,Paid
833,1545,0,Paid
834,1538,15,Late
835,1542,11,Paid
836,1536,18,Late
837,1546,6,Paid
838,1547,0,Paid
839,1541,13,Paid
840,1563,5,Paid
841,1564,0,Paid
842,1554,0,Paid
843,1555,17,Late
844,1558,2,Paid
845,1559,7,Paid
846,1562,0,Paid
847,1550,0,Paid
848,1552,3,Paid
849,1570,13,Paid
850,1578,13,Paid
851,1575,14,Paid
852,1572,16,Late
853,1580,14,Paid
854,1584,8,Paid
855,1581,17,Late
856,1583,5,Paid
857,1571,4,Paid
858,1576,18,Late
859,1582,17,Late
860,1587,23,Late
861,1589,17,Late
862,1602,16,Late
863,1594,18,Late
864,1601,12,Paid
865,1604,16,Late
866,1600,23,Late
867,1603,27,Late
868,1592,17,Late
869,1590,23,Late
870,1616,0,Paid
871,1613,11,Paid
872,1614,3,Paid
873,1609,9,Paid
874,1607,6,Paid
875,1611,14,Paid
876,1620,3,Paid
877,1615,11,Paid
878,1608,6,Paid
879,1625,24,Late
880,1624,24,Late
881,1623,20,Late
882,1628,24,Late
883,1638,24,Late
884,1634,26,Late
885,1635,25,Late
886,1630,28,Late
887,1626,29,Late
888,1629,19,Late
889,1646,15,Late
890,1649,5,Paid
891,1647,13,Paid
892,1657,14,Paid
893,1650,1,Paid
894,1648,11,Paid
895,1656,8,Paid
896,1644,7,Paid
897,1651,17,Late
898,1669,7,Paid
899,1674,6,Paid
900,1671,11,Paid
901,1661,14,Paid
902,1668,10,Paid
903,1662,16,Late
904,1670,13,Paid
905,1664,0,Paid
906,1667,8,Paid
907,1660,8,Paid
908,1684,5,Paid
909,1681,0,Paid
910,1687,15,Late
911,1690,5,Paid
912,1691,3,Paid
913,1677,8,Paid
914,1679,14,Paid
915,1683,7,Paid
916,1692,7,Paid
917,1710,18,Late
918,1704,17,Late
919,1706,15,Late
920,1696,13,Paid
921,1703,14,Paid
922,1711,11,Paid
923,1695,17,Late
924,1705,9,Paid
925,1712,18,Late
926,1713,6,Paid
927,1727,7,Paid
928,1724,4,Paid
929,1723,22,Late
930,1718,13,Paid
931,1726,0,Paid
932,1730,8,Paid
933,1729,3,Paid
934,1716,1,Paid
935,1747,8,Paid
936,1741,17,Late
937,1731,11,Paid
938,1736,19,Late
939,1739,19,Late
940,1732,21,Late
941,1737,10,Paid
942,1733,17,Late
943,1748,18,Late
944,1749,21,Late
945,1761,20,Late
946,1758,32,Paid
947,1763,25,Late
948,1759,27,Late
949,1755,19,Late
950,1750,17,Late
951,1754,21,Late
952,1764,23,Late
953,1760,18,Late
954,1777,7,Paid
955,1783,0,Paid
956,1778,2,Paid
957,1782,11,Paid
958,1775,11,Paid
959,1771,6,Paid
960,1781,2,Paid
961,1784,2,Paid
962,1769,6,Paid
963,1793,14,Paid
964,1790,15,Late
965,1799,8,Paid
966,1786,5,Paid
967,1791,12,Paid
968,1797,6,Paid
969,1787,8,Paid
970,1792,17,Late
971,1796,15,Late
972,1801,11,Paid
973,1820,0,Paid
974,1803,4,Paid
975,1809,8,Paid
976,1808,1,Paid
977,1811,9,Paid
978,1807,9,Paid
979,1812,11,Paid
980,1815,4,Paid
981,1825,15,Late
982,1834,20,Late
983,1821,15,Late
984,1829,10,Paid
985,1827,10,Paid
986,1826,14,Paid
987,1824,6,Paid
988,1823,12,Paid
989,1831,18,Late
990,1839,2,Paid
991,1842,20,Late
992,1850,18,Late
993,1848,10,Paid
994,1849,15,Late
995,1855,13,Paid
996,1847,19,Late
997,1841,17,Late
998,1844,5,Paid
999,1864,32,Pending
1000,1860,28,Late
1001,1862,30,Paid
1002,1866,26,Late
1003,1865,38,Paid
1004,1858,35,Paid
1005,1863,26,Late
1006,1884,5,Paid
1007,1875,10,Paid
1008,1878,14,Paid
1009,1883,13,Paid
1010,1868,18,Late
1011,1869,15,Late
1012,1873,16,Late
1013,1876,13,Paid
1014,1870,5,Paid
1015,1872,11,Paid
1016,1874,17,Late
1017,1887,18,Late
1018,1893,21,Late
1019,1890,17,Late
1020,1886,13,Paid
1021,1889,18,Late
1022,1892,20,Late
1023,1905,5,Paid
1024,1902,7,Paid
1025,1909,4,Paid
1026,1906,14,Paid
1027,1896,7,Paid
1028,1907,16,Late
1029,1911,16,Late
1030,1897,8,Paid
1031,1925,0,Paid
1032,1912,0,Paid
1033,1927,0,Paid
1034,1915,0,Paid
1035,1926,7,Paid
1036,1918,1,Paid
1037,1914,2,Paid
1038,1922,0,Paid
1039,1917,0,Paid
1040,1913,5,Paid
1041,1940,14,Paid
1042,1939,12,Paid
1043,1944,15,Late
1044,1934,21,Late
1045,1935,11,Paid
1046,1941,13,Paid
1047,1943,13,Paid
1048,1947,24,Late
1049,1930,2,Paid
1050,1945,16,Late
1051,1938,12,Paid
1052,1954,22,Late
1053,1955,16,Late
1054,1956,19,Late
1055,1958,23,Late
1056,1960,35,Paid
1057,1953,24,Late
1058,1950,15,Late
1059,1951,17,Late
1060,1973,23,Late
1061,1969,17,Late
1062,1965,24,Late
1063,1963,29,Late
1064,1970,19,Late
1065,1968,31,Paid
1066,1966,28,Late
1067,1975,22,Late
1068,1974,25,Late
1069,1976,33,Paid
1070,1964,29,Late
1071,1980,27,Late
1072,1982,25,Late
1073,1979,27,Late
1074,1994,3,Paid
1075,1983,0,Paid
1076,1990,16,Late
1077,1992,6,Paid
1078,1995,7,Paid
1079,1987,5,Paid
1080,1993,2,Paid
1081,1991,5,Paid
1082,1989,0,Paid
1083,1984,17,Late
1084,2008,16,Late
1085,2006,17,Late
1086,2015,20,Late
1087,2001,29,Late
1088,2003,23,Late
1089,2009,16,Late
1090,2012,29,Late
1091,2002,26,Late
1092,2027,30,Pending
1093,2017,31,Pending
1094,2034,39,Pending
1095,2024,38,Pending
1096,2032,24,Late
1097,2022,36,Paid
1098,2020,29,Late
1099,2050,11,Paid
1100,2052,0,Paid
1101,2043,8,Paid
1102,2040,4,Paid
1103,2046,13,Paid
1104,2047,14,Paid
1105,2035,0,Paid
1106,2036,8,Paid
1107,2045,14,Paid
1108,2065,19,Late
1109,2064,23,Late
1110,2058,21,Late
1111,2063,21,Late
1112,2067,18,Late
1113,2069,13,Paid
1114,2068,14,Paid
1115,2060,23,Late
1116,2075,24,Late
1117,2087,23,Late
1118,2079,21,Late
1119,2088,22,Late
1120,2077,29,Late
1121,2083,22,Late
1122,2072,17,Late
1123,2071,27,Late
1124,2076,22,Late
1125,2100,4,Paid
1126,2106,12,Paid
1127,2101,3,Paid
1128,2098,5,Paid
1129,2099,0,Paid
1130,2094,2,Paid
1131,2092,7,Paid
1132,2090,0,Paid
1133,2093,5,Paid
1134,2118,13,Paid
1135,2108,13,Paid
1136,2120,18,Late
1137,2123,14,Paid
1138,2124,20,Late
1139,2109,8,Paid
1140,2112,13,Paid
1141,2113,13,Paid
1142,2114,7,Paid
1143,2117,17,Late
1144,2130,15,Late
1145,2141,3,Paid
1146,2135,6,Paid
1147,2137,4,Paid
1148,2128,0,Paid
1149,2127,0,Paid
1150,2131,0,Paid
1151,2132,0,Paid
1152,2125,12,Paid
1153,2149,22,Late
1154,2150,21,Late
1155,2155,27,Late
1156,2158,17,Late
1157,2146,19,Late
1158,2154,23,Late
1159,2147,28,Late
1160,2151,25,Late
1161,2143,24,Late
1162,2172,9,Paid
1163,2175,11,Paid
1164,2167,10,Paid
1165,2174,3,Paid
1166,2161,9,Paid
1167,2169,3,Paid
1168,2165,9,Paid
1169,2173,6,Paid
1170,2168,21,Late
1171,2170,8,Paid
1172,2187,5,Paid
1173,2194,12,Paid
1174,2188,15,Late
1175,2192,21,Late
1176,2183,10,Paid
1177,2184,5,Paid
1178,2195,17,Late
1179,2193,6,Paid
1180,2206,0,Paid
1181,2197,1,Paid
1182,2208,2,Paid
1183,2198,6,Paid
1184,2210,0,Paid
1185,2209,1,Paid
1186,2226,13,Paid
1187,2214,14,Paid
1188,2216,14,Paid
1189,2227,16,Late
1190,2222,18,Late
1191,2215,15,Late
1192,2225,16,Late
1193,2219,6,Paid
1194,2213,14,Paid
1195,2230,18,Late
1196,2234,19,Late
1197,2238,12,Paid
1198,2237,12,Paid
1199,2233,13,Paid
1200,2240,17,Late
1201,2241,20,Late
1202,2249,22,Late
1203,2246,29,Late
1204,2256,25,Late
1205,2259,24,Late
1206,2247,23,Late
1207,2257,28,Late
1208,2258,26,Late
1209,2254,36,Pending
1210,2242,20,Late
1211,2245,27,Late
1212,2251,22,Late
1213,2277,5,Paid
1214,2269,9,Paid
1215,2265,10,Paid
1216,2275,24,Late
1217,2274,9,Paid
1218,2260,4,Paid
1219,2273,11,Paid
1220,2270,0,Paid
1221,2268,9,Paid
1222,2276,10,Paid
1223,2295,19,Late
1224,2278,20,Late
1225,2288,13,Paid
1226,2281,15,Late
1227,2280,12,Paid
1228,2294,10,Paid
1229,2279,17,Late
1230,2283,9,Paid
1231,2286,13,Paid
1232,2292,11,Paid
1233,2296,11,Paid
1234,2305,11,Paid
1235,2310,0,Paid
1236,2299,0,Paid
1237,2298,1,Paid
1238,2303,2,Paid
1239,2313,3,Paid
1240,2301,0,Paid
1241,2312,0,Paid
1242,2308,3,Paid
1243,2315,8,Paid
1244,2319,0,Paid
1245,2317,1,Paid
1246,2321,4,Paid
1247,2323,6,Paid
1248,2336,19,Late
1249,2335,7,Paid
1250,2332,10,Paid
1251,2322,13,Paid
1252,2334,8,Paid
1253,2331,1,Paid
1254,2324,8,Paid
1255,2352,11,Paid
1256,2346,4,Paid
1257,2341,1,Paid
1258,2354,10,Paid
1259,2344,4,Paid
1260,2347,3,Paid
1261,2355,6,Paid
1262,2348,9,Paid
1263,2340,17,Late
1264,2342,10,Paid
1265,2362,18,Late
1266,2363,10,Paid
1267,2357,7,Paid
1268,2365,13,Paid
1269,2359,13,Paid
1270,2361,7,Paid
1271,2375,3,Paid
1272,2376,5,Paid
1273,2368,5,Paid
1274,2378,6,Paid
1275,2372,5,Paid
1276,2379,1,Paid
1277,2371,1,Paid
1278,2373,0,Paid
1279,2383,12,Paid
1280,2377,4,Paid
1281,2366,2,Paid
1282,2370,0,Paid
1283,2396,22,Late
1284,2386,2,Paid
1285,2388,5,Paid
1286,2400,10,Paid
1287,2392,11,Paid
1288,2399,12,Paid
1289,2397,17,Late
1290,2395,10,Paid
1291,2393,2,Paid
1292,2389,6,Paid
1293,2408,1,Paid
1294,2418,10,Paid
1295,2412,0,Paid
1296,2409,6,Paid
1297,2410,0,Paid
1298,2419,4,Paid
1299,2416,0,Paid
1300,2414,0,Paid
1301,2404,3,Paid
1302,2413,3,Paid
1303,2417,4,Paid
1304,2406,0,Paid
1305,2425,26,Late
1306,2429,21,Late
1307,2430,33,Pending
1308,2423,31,Paid
1309,2427,24,Late
1310,2420,26,Late
1311,2431,26,Late
1312,2432,21,Late
1313,2421,24,Late
1314,2428,23,Late
1315,2451,2,Paid
1316,2446,1,Paid
1317,2443,0,Paid
1318,2439,15,Late
1319,2453,11,Paid
1320,2442,1,Paid
1321,2438,6,Paid
1322,2447,7,Paid
1323,2455,10,Paid
1324,2472,0,Paid
1325,2473,6,Paid
1326,2468,0,Paid
1327,2461,0,Paid
1328,2458,4,Paid
1329,2467,7,Paid
1330,2456,13,Paid
1331,2462,0,Paid
1332,2469,4,Paid
1333,2484,19,Late
1334,2488,25,Late
