activity_id,customer_id,activity_month,logins,support_calls
147,22,2024-09,3,0
148,22,2024-10,10,0
149,22,2024-11,15,1
150,22,2024-12,16,0
151,24,2024-02,22,0
152,24,2024-03,29,1
153,24,2024-04,28,0
154,24,2024-05,20,1
155,24,2024-06,25,1
156,24,2024-07,27,0
157,24,2024-08,20,1
158,24,2024-09,32,1
159,24,2024-10,19,1
160,24,2024-11,24,0
161,24,2024-12,17,1
162,25,2024-01,14,0
163,25,2024-02,8,1
164,25,2024-03,12,0
165,25,2024-04,6,0
166,25,2024-05,17,0
167,25,2024-06,15,0
168,25,2024-07,19,0
169,25,2024-08,12,0
170,25,2024-09,19,0
171,25,2024-10,14,0
172,25,2024-11,14,0
173,25,2024-12,24,0
174,26,2024-01,37,1
175,26,2024-02,46,0
176,26,2024-03,42,1
177,26,2024-04,37,1
178,26,2024-05,33,1
179,26,2024-06,34,1
180,26,2024-07,45,1
181,26,2024-08,48,1
182,26,2024-09,40,1
183,26,2024-10,40,0
184,26,2024-11,43,1
185,26,2024-12,40,1
186,27,2024-11,9,1
187,27,2024-12,5,1
188,28,2024-04,46,1
189,28,2024-05,42,1
190,28,2024-06,41,0
191,28,2024-07,30,1
192,28,2024-08,52,1
193,28,2024-09,45,0
194,28,2024-10,43,1
195,28,2024-11,36,1
196,28,2024-12,42,1
197,30,2024-01,52,0
198,30,2024-02,52,0
199,30,2024-03,57,0
200,30,2024-04,56,0
201,30,2024-05,49,0
202,30,2024-06,49,0
203,30,2024-07,49,0
204,30,2024-08,65,0
205,30,2024-09,63,0
206,30,2024-10,51,0
207,30,2024-11,46,0
208,30,2024-12,56,1
209,32,2024-11,10,0
210,32,2024-12,11,1
211,33,2024-06,63,0
212,33,2024-07,62,0
213,33,2024-08,54,0
214,33,2024-09,61,0
215,33,2024-10,64,0
216,33,2024-11,56,0
217,33,2024-12,61,0
218,34,2024-01,27,1
219,34,2024-02,39,1
220,34,2024-03,23,1
221,34,2024-04,35,1
222,34,2024-05,21,1
223,34,2024-06,38,1
224,34,2024-07,24,1
225,34,2024-08,30,1
226,34,2024-09,21,1
227,34,2024-10,23,1
228,34,2024-11,34,1
229,34,2024-12,35,1
230,35,2024-01,5,0
231,35,2024-02,7,0
232,35,2024-03,9,0
233,35,2024-04,0,0
234,35,2024-05,0,1
235,35,2024-06,3,0
236,35,2024-07,1,0
237,35,2024-08,5,0
238,35,2024-09,6,1
239,35,2024-10,0,0
240,35,2024-11,7,1
241,35,2024-12,7,0
242,36,2024-01,53,0
243,36,2024-02,47,0
244,36,2024-03,53,0
245,36,2024-04,52,0
246,36,2024-05,53,0
247,36,2024-06,58,0
248,36,2024-07,51,0
249,36,2024-08,46,0
250,36,2024-09,44,0
251,36,2024-10,55,0
252,36,2024-11,51,0
253,36,2024-12,58,0
254,37,2024-01,27,0
255,37,2024-02,42,1
256,37,2024-03,36,1
257,37,2024-04,36,1
258,37,2024-05,34,1
259,37,2024-06,42,1
260,37,2024-07,41,1
261,37,2024-08,32,1
262,37,2024-09,38,1
263,38,2024-01,31,0
264,38,2024-02,28,1
265,38,2024-03,33,0
266,38,2024-04,26,0
267,38,2024-05,16,1
268,38,2024-06,28,0
269,38,2024-07,28,0
270,38,2024-08,29,0
271,38,2024-09,33,0
272,38,2024-10,18,0
273,38,2024-11,26,0
274,38,2024-12,23,1
275,39,2024-01,13,1
276,39,2024-02,19,1
277,39,2024-03,23,1
278,39,2024-04,21,1
279,39,2024-05,16,0
280,39,2024-06,19,0
281,39,2024-07,24,0
282,39,2024-08,23,0
283,39,2024-09,17,0
284,39,2024-10,16,0
285,39,2024-11,11,0
286,39,2024-12,17,0
287,40,2024-01,29,0
288,40,2024-02,48,0
289,40,2024-03,33,0
290,40,2024-04,43,0
291,40,2024-05,47,0
292,40,2024-06,39,0
293,40,2024-07,37,0
294,40,2024-08,31,0
295,40,2024-09,35,0
296,40,2024-10,46,0
297,40,2024-11,39,0
298,40,2024-12,38,0
299,41,2024-09,26,0
300,41,2024-10,23,0
301,41,2024-11,19,0
302,41,2024-12,21,0
303,42,2024-01,4,1
304,42,2024-02,5,1
305,42,2024-03,6,0
306,42,2024-04,10,0
307,42,2024-05,1,1
308,42,2024-06,8,1
309,42,2024-07,6,0
310,42,2024-08,3,0
311,42,2024-09,6,0
312,43,2024-01,46,1
313,43,2024-02,54,0
314,43,2024-03,52,1
315,44,2024-01,58,0
316,44,2024-02,48,1
317,44,2024-03,60,1
318,44,2024-04,64,0
319,44,2024-05,59,1
320,44,2024-06,62,1
321,44,2024-07,57,0
322,44,2024-08,52,1
323,44,2024-09,60,0
324,44,2024-10,63,1
325,44,2024-11,53,0
326,44,2024-12,57,0
327,46,2024-01,44,0
328,46,2024-02,60,0
329,46,2024-03,47,0
330,46,2024-04,36,0
331,46,2024-05,35,0
332,46,2024-06,49,0
333,46,2024-07,58,0
334,46,2024-08,44,0
335,46,2024-09,44,0
336,46,2024-10,48,0
337,46,2024-11,42,0
338,46,2024-12,33,1
339,47,2024-01,33,1
340,47,2024-02,24,0
341,47,2024-03,33,0
342,47,2024-04,24,1
343,47,2024-05,28,0
344,47,2024-06,32,1
345,47,2024-07,33,1
346,47,2024-08,29,0
347,47,2024-09,28,0
348,47,2024-10,31,0
349,47,2024-11,30,0
350,47,2024-12,21,1
351,49,2024-01,45,1
352,49,2024-02,41,0
353,49,2024-03,55,0
354,49,2024-04,50,0
355,49,2024-05,56,1
356,49,2024-06,54,1
357,49,2024-07,46,1
358,49,2024-08,51,1
359,49,2024-09,49,1
360,49,2024-10,48,1
361,49,2024-11,56,1
362,49,2024-12,64,0
363,50,2024-01,45,0
364,50,2024-02,39,0
365,50,2024-03,46,0
366,50,2024-04,48,1
367,50,2024-05,33,0
368,50,2024-06,46,0
369,50,2024-07,43,0
370,50,2024-08,45,0
371,50,2024-09,44,0
372,50,2024-10,38,0
373,50,2024-11,50,1
374,50,2024-12,41,0
375,51,2024-01,45,1
376,51,2024-02,50,1
377,51,2024-03,52,1
378,51,2024-04,48,1
379,51,2024-05,49,1
380,51,2024-06,48,1
381,51,2024-07,44,0
382,51,2024-08,43,1
383,51,2024-09,40,1
384,51,2024-10,55,1
385,51,2024-11,46,1
386,51,2024-12,30,1
387,54,2024-01,15,1
388,54,2024-02,15,1
389,54,2024-03,4,0
390,54,2024-04,9,0
391,54,2024-05,9,1
392,54,2024-06,10,1
393,54,2024-07,20,1
394,54,2024-08,13,1
395,54,2024-09,11,1
396,54,2024-10,19,1
397,54,2024-11,16,1
398,54,2024-12,5,1
399,56,2024-01,34,0
400,56,2024-02,39,0
401,56,2024-03,33,0
402,56,2024-04,48,0
403,56,2024-05,38,0
404,56,2024-06,34,0
405,56,2024-07,32,0
406,56,2024-08,42,0
407,56,2024-09,34,0
408,56,2024-10,39,0
409,56,2024-11,32,0
410,56,2024-12,38,0
411,60,2024-02,36,0
412,60,2024-03,38,0
413,60,2024-04,36,0
414,60,2024-05,45,0
415,60,2024-06,37,1
416,60,2024-07,39,0
417,60,2024-08,39,0
418,60,2024-09,48,0
419,60,2024-10,44,1
420,60,2024-11,43,0
421,60,2024-12,32,0
422,61,2024-01,0,1
423,61,2024-02,9,1
424,61,2024-03,0,1
425,61,2024-04,4,1
426,61,2024-05,0,1
427,61,2024-06,0,0
428,61,2024-07,12,1
429,61,2024-08,7,1
430,61,2024-09,8,0
431,61,2024-10,7,1
432,61,2024-11,3,0
433,62,2024-01,26,0
434,62,2024-02,27,0
435,62,2024-03,29,0
436,62,2024-04,38,1
437,62,2024-05,23,0
438,62,2024-06,27,1
439,62,2024-07,25,0
440,62,2024-08,35,0
441,62,2024-09,39,1
442,62,2024-10,31,1
443,62,2024-11,31,0
444,62,2024-12,30,0
445,63,2024-01,38,0
446,63,2024-02,39,0
447,63,2024-03,38,0
448,63,2024-04,38,0
449,63,2024-05,39,0
450,63,2024-06,27,0
451,63,2024-07,36,0
452,63,2024-08,37,0
453,63,2024-09,38,0
454,63,2024-10,35,0
455,63,2024-11,36,0
456,63,2024-12,32,0
457,65,2024-10,1,0
458,65,2024-11,14,0
459,65,2024-12,4,0
460,68,2024-01,57,0
461,68,2024-02,54,0
462,68,2024-03,65,0
463,68,2024-04,57,0
464,68,2024-05,56,0
465,68,2024-06,61,0
466,68,2024-07,68,0
467,68,2024-08,60,0
468,68,2024-09,56,0
469,68,2024-10,61,0
470,68,2024-11,50,0
471,68,2024-12,58,0
472,69,2024-01,11,0
473,69,2024-02,2,1
474,69,2024-03,2,1
475,70,2024-11,10,0
476,70,2024-12,8,1
477,73,2024-01,31,0
478,73,2024-02,33,0
479,73,2024-03,28,0
480,73,2024-04,17,1
481,73,2024-05,32,0
482,73,2024-06,40,0
483,73,2024-07,28,1
484,73,2024-08,22,1
485,73,2024-09,33,0
486,73,2024-10,38,0
487,73,2024-11,32,1
488,73,2024-12,38,0
489,74,2024-01,37,1
490,74,2024-02,37,1
491,74,2024-03,31,0
492,74,2024-04,35,0
493,74,2024-05,33,0
494,74,2024-06,33,1
495,74,2024-07,32,0
496,74,2024-08,35,1
497,74,2024-09,27,1
498,74,2024-10,38,1
499,74,2024-11,29,0
500,74,2024-12,32,0
501,77,2024-01,35,0
502,77,2024-02,29,1
503,77,2024-03,24,1
504,77,2024-04,32,1
505,77,2024-05,26,1
506,77,2024-06,37,1
507,77,2024-07,28,0
508,77,2024-08,41,0
509,77,2024-09,33,1
510,77,2024-10,34,1
511,77,2024-11,24,0
512,77,2024-12,34,1
513,78,2024-01,11,0
514,78,2024-02,5,0
515,78,2024-03,12,0
516,78,2024-04,10,0
517,78,2024-05,10,0
518,78,2024-06,12,0
519,78,2024-07,9,0
520,78,2024-08,13,0
521,78,2024-09,11,0
522,78,2024-10,14,0
523,78,2024-11,9,0
524,78,2024-12,6,0
525,79,2024-01,16,0
526,79,2024-02,27,1
527,79,2024-03,24,0
528,79,2024-04,26,0
529,79,2024-05,26,1
530,79,2024-06,17,0
531,79,2024-07,21,1
532,79,2024-08,20,0
533,79,2024-09,23,1
534,79,2024-10,18,1
535,79,2024-11,20,1
536,79,2024-12,20,0
537,80,2024-07,48,1
538,80,2024-08,49,0
539,80,2024-09,46,1
540,80,2024-10,46,1
541,80,2024-11,47,0
542,80,2024-12,54,1
543,81,2024-02,39,1
544,81,2024-03,43,1
545,81,2024-04,51,1
546,81,2024-05,49,1
547,81,2024-06,49,1
548,81,2024-07,51,1
549,81,2024-08,49,1
550,81,2024-09,45,1
551,81,2024-10,51,1
552,81,2024-11,48,1
553,81,2024-12,45,1
554,83,2024-01,53,0
555,83,2024-02,53,1
556,83,2024-03,51,0
557,83,2024-04,58,0
558,83,2024-05,56,1
559,83,2024-06,55,1
560,83,2024-07,62,1
561,83,2024-08,49,1
562,83,2024-09,47,0
563,83,2024-10,54,1
564,83,2024-11,48,1
565,83,2024-12,50,0
566,85,2024-04,31,1
567,85,2024-05,39,0
568,85,2024-06,28,1
569,85,2024-07,35,0
570,85,2024-08,35,0
571,85,2024-09,33,0
572,85,2024-10,27,1
573,85,2024-11,27,1
574,85,2024-12,32,0
575,86,2024-01,4,0
576,86,2024-02,3,0
577,86,2024-03,1,0
578,86,2024-04,0,0
579,86,2024-05,3,0
580,86,2024-06,0,0
581,86,2024-07,0,0
582,86,2024-08,0,0
583,86,2024-09,0,0
584,88,2024-01,29,1
585,88,2024-02,24,0
586,88,2024-03,32,0
587,88,2024-04,21,0
588,88,2024-05,26,0
589,88,2024-06,22,0
590,88,2024-07,30,0
591,88,2024-08,22,1
592,88,2024-09,28,0
593,88,2024-10,18,0
594,88,2024-11,21,0
595,88,2024-12,23,0
596,90,2024-12,32,0
597,92,2024-01,31,0
598,92,2024-02,40,0
599,92,2024-03,40,0
600,92,2024-04,31,0
601,92,2024-05,39,0
602,92,2024-06,34,0
603,92,2024-07,30,0
604,92,2024-08,40,0
605,92,2024-09,40,0
606,92,2024-10,40,1
607,92,2024-11,43,0
608,92,2024-12,37,0
609,93,2024-01,42,0
610,93,2024-02,33,0
611,93,2024-03,40,0
612,93,2024-04,25,0
613,93,2024-05,29,0
614,93,2024-06,37,0
615,93,2024-07,32,0
616,93,2024-08,28,0
617,93,2024-09,24,0
618,93,2024-10,37,0
619,93,2024-11,37,1
620,93,2024-12,35,1
621,94,2024-01,55,1
622,94,2024-02,52,0
623,94,2024-03,57,1
624,94,2024-04,51,0
625,94,2024-05,54,1
626,94,2024-06,64,1
627,95,2024-01,42,1
628,95,2024-02,55,1
629,95,2024-03,59,0
630,95,2024-04,56,1
631,95,2024-05,53,0
632,95,2024-06,49,1
633,95,2024-07,48,0
634,95,2024-08,40,0
635,95,2024-09,52,1
636,95,2024-10,49,1
637,95,2024-11,48,0
638,95,2024-12,51,0
639,96,2024-01,36,1
640,96,2024-02,32,1
641,96,2024-03,44,0
642,96,2024-04,39,1
643,96,2024-05,40,0
644,96,2024-06,35,0
645,96,2024-07,38,0
646,96,2024-08,31,0
647,96,2024-09,39,0
648,96,2024-10,34,0
649,96,2024-11,30,1
650,96,2024-12,35,0
651,97,2024-01,12,0
652,97,2024-02,25,1
653,97,2024-03,16,1
654,97,2024-04,21,1
655,97,2024-05,19,0
656,97,2024-06,14,0
657,97,2024-07,11,1
658,97,2024-08,5,1
659,97,2024-09,9,0
660,97,2024-10,17,1
661,97,2024-11,12,1
662,97,2024-12,15,0
663,100,2024-01,37,1
664,100,2024-02,50,0
665,100,2024-03,53,0
666,100,2024-04,39,0
667,100,2024-05,49,0
668,100,2024-06,54,0
669,100,2024-07,56,0
670,100,2024-08,45,1
671,100,2024-09,51,1
672,100,2024-10,55,0
673,100,2024-11,50,0
674,100,2024-12,54,1
675,101,2024-01,23,1
676,101,2024-02,25,0
677,101,2024-03,20,0
678,101,2024-04,23,0
679,101,2024-05,26,0
680,101,2024-06,20,0
681,101,2024-07,22,0
682,101,2024-08,27,0
683,101,2024-09,34,0
684,101,2024-10,13,0
685,101,2024-11,33,0
686,101,2024-12,22,1
687,104,2024-02,50,1
688,104,2024-03,51,1
689,104,2024-04,53,1
690,104,2024-05,42,1
691,104,2024-06,44,1
692,104,2024-07,45,0
693,104,2024-08,44,1
694,104,2024-09,52,1
695,104,2024-10,45,1
696,104,2024-11,37,1
697,104,2024-12,42,1
698,108,2024-01,2,1
699,108,2024-02,8,1
700,108,2024-03,13,0
701,108,2024-04,6,1
702,108,2024-05,7,1
703,108,2024-06,8,1
704,108,2024-07,10,1
705,108,2024-08,12,0
706,108,2024-09,14,1
707,108,2024-10,21,1
708,108,2024-11,10,1
709,108,2024-12,13,1
710,109,2024-01,24,0
711,109,2024-02,30,0
712,109,2024-03,30,0
713,109,2024-04,26,0
714,109,2024-05,29,0
715,109,2024-06,31,0
716,109,2024-07,29,1
717,109,2024-08,45,1
718,109,2024-09,34,1
719,109,2024-10,42,1
720,109,2024-11,39,0
721,109,2024-12,28,0
722,110,2024-01,24,0
723,110,2024-02,21,1
724,110,2024-03,23,1
725,110,2024-04,19,1
726,110,2024-05,21,0
727,110,2024-06,25,1
728,110,2024-07,25,0
729,110,2024-08,25,1
730,110,2024-09,23,0
731,110,2024-10,28,0
732,110,2024-11,22,0
733,110,2024-12,30,0
734,111,2024-01,0,0
735,111,2024-02,13,1
736,111,2024-03,12,0
737,111,2024-04,6,0
738,111,2024-05,8,1
739,111,2024-06,12,0
740,111,2024-07,14,1
741,111,2024-08,1,1
742,111,2024-09,13,1
743,111,2024-10,7,1
744,111,2024-11,15,1
745,111,2024-12,0,1
746,112,2024-01,40,0
747,112,2024-02,23,0
748,112,2024-03,35,0
749,112,2024-04,27,0
750,112,2024-05,23,0
751,112,2024-06,29,0
752,112,2024-07,33,0
753,112,2024-08,20,0
754,112,2024-09,31,0
755,112,2024-10,27,0
756,112,2024-11,30,0
757,112,2024-12,28,0
758,113,2024-02,3,1
759,113,2024-03,0,1
760,113,2024-04,9,1
761,113,2024-05,9,0
762,113,2024-06,9,0
763,113,2024-07,8,0
764,113,2024-08,10,1
765,113,2024-09,13,1
766,113,2024-10,0,1
767,113,2024-11,0,0
768,113,2024-12,14,0
769,114,2024-01,27,0
770,114,2024-02,28,0
771,114,2024-03,32,0
772,114,2024-04,25,1
773,114,2024-05,32,1
774,114,2024-06,29,1
775,114,2024-07,32,1
776,114,2024-08,35,0
777,114,2024-09,32,0
778,114,2024-10,32,0
779,114,2024-11,35,0
780,114,2024-12,39,1
781,116,2024-01,40,0
782,116,2024-02,30,0
783,116,2024-03,41,0
784,116,2024-04,36,0
785,116,2024-05,25,1
786,116,2024-06,25,0
787,116,2024-07,29,0
788,116,2024-08,39,0
789,116,2024-09,29,1
790,116,2024-10,22,0
791,116,2024-11,30,0
792,116,2024-12,22,0
793,117,2024-01,4,1
794,117,2024-02,7,1
795,117,2024-03,10,1
796,117,2024-04,15,1
797,117,2024-05,13,1
798,117,2024-06,4,0
799,117,2024-07,8,1
800,117,2024-08,10,1
801,117,2024-09,8,1
802,117,2024-10,8,1
803,117,2024-11,1,1
804,117,2024-12,4,0
805,119,2024-07,31,1
806,119,2024-08,18,1
807,119,2024-09,37,1
808,119,2024-10,27,1
809,119,2024-11,37,1
810,119,2024-12,36,1
811,121,2024-03,47,0
812,121,2024-04,55,1
813,121,2024-05,53,0
814,121,2024-06,48,0
815,121,2024-07,47,0
816,121,2024-08,55,0
817,121,2024-09,51,1
818,121,2024-10,55,1
819,121,2024-11,38,0
820,121,2024-12,50,1
821,123,2024-01,22,1
822,123,2024-02,29,1
823,123,2024-03,33,1
824,123,2024-04,38,1
825,123,2024-05,25,1
826,123,2024-06,27,0
827,123,2024-07,29,1
828,123,2024-08,25,1
829,123,2024-09,34,1
830,123,2024-10,29,0
831,123,2024-11,30,1
832,123,2024-12,33,0
833,125,2024-01,31,1
834,125,2024-02,27,0
835,125,2024-03,31,0
836,125,2024-04,27,0
837,125,2024-05,32,0
838,125,2024-06,36,0
839,125,2024-07,26,1
840,125,2024-08,24,0
841,125,2024-09,32,1
842,125,2024-10,28,0
843,125,2024-11,32,0
844,125,2024-12,33,0
845,126,2024-01,27,1
846,126,2024-02,41,1
847,126,2024-03,32,1
848,126,2024-04,37,1
849,126,2024-05,34,0
850,126,2024-06,35,1
851,126,2024-07,46,1
852,126,2024-08,39,1
853,126,2024-09,42,1
854,126,2024-10,38,0
855,126,2024-11,41,1
856,126,2024-12,40,0
857,127,2024-01,21,1
858,127,2024-02,25,0
859,127,2024-03,20,1
860,127,2024-04,31,1
861,127,2024-05,24,1
862,127,2024-06,14,0
863,127,2024-07,19,1
864,127,2024-08,21,0
865,127,2024-09,20,0
866,127,2024-10,23,0
867,127,2024-11,23,0
868,127,2024-12,13,0
869,128,2024-02,22,1
870,128,2024-03,13,1
871,128,2024-04,13,1
872,128,2024-05,13,1
873,128,2024-06,20,0
874,128,2024-07,14,1
875,128,2024-08,12,0
876,128,2024-09,13,1
877,128,2024-10,7,1
878,128,2024-11,11,0
879,128,2024-12,9,1
880,130,2024-01,28,1
881,130,2024-02,33,0
882,130,2024-03,32,0
883,130,2024-04,36,0
884,130,2024-05,35,1
885,130,2024-06,27,1
886,130,2024-07,30,1
887,130,2024-08,29,0
888,130,2024-09,19,1
889,130,2024-10,23,1
890,130,2024-11,29,0
891,130,2024-12,29,1
892,134,2024-09,4,0
893,134,2024-10,4,0
894,134,2024-11,0,0
895,134,2024-12,4,0
896,135,2024-05,28,0
897,135,2024-06,31,0
898,135,2024-07,33,0
899,135,2024-08,27,0
900,135,2024-09,34,0
901,135,2024-10,23,0
902,135,2024-11,23,0
903,135,2024-12,30,0
904,138,2024-01,6,1
905,138,2024-02,9,0
906,138,2024-03,17,1
907,139,2024-09,7,1
908,139,2024-10,7,1
909,139,2024-11,1,0
910,139,2024-12,0,1
911,140,2024-01,5,1
912,140,2024-02,11,0
913,140,2024-03,4,0
914,140,2024-04,8,1
915,140,2024-05,13,0
916,140,2024-06,13,0
917,140,2024-07,8,0
918,140,2024-08,6,1
919,140,2024-09,0,1
920,140,2024-10,2,0
921,140,2024-11,4,0
922,140,2024-12,1,1
923,141,2024-01,19,1
924,141,2024-02,27,1
925,141,2024-03,25,0
926,141,2024-04,19,0
927,141,2024-05,21,1
928,141,2024-06,14,1
929,141,2024-07,25,1
930,141,2024-08,10,1
931,141,2024-09,22,1
932,141,2024-10,20,1
933,141,2024-11,14,1
934,141,2024-12,16,1
935,145,2024-02,36,1
936,145,2024-03,36,1
937,145,2024-04,34,1
938,145,2024-05,45,1
939,145,2024-06,48,1
940,145,2024-07,31,0
941,145,2024-08,51,1
942,145,2024-09,41,0
943,145,2024-10,43,1
944,145,2024-11,34,0
945,145,2024-12,48,1
946,147,2024-01,21,0
947,147,2024-02,25,0
948,147,2024-03,26,0
949,147,2024-04,26,0
950,147,2024-05,16,0
951,147,2024-06,18,0
952,147,2024-07,16,0
953,147,2024-08,24,0
954,147,2024-09,21,0
955,147,2024-10,25,0
956,147,2024-11,25,0
957,147,2024-12,11,0
958,148,2024-01,64,1
959,148,2024-02,62,1
960,148,2024-03,56,1
961,148,2024-04,59,1
962,148,2024-05,57,1
963,148,2024-06,61,1
964,148,2024-07,56,0
965,148,2024-08,60,1
966,148,2024-09,58,0
967,148,2024-10,55,1
968,148,2024-11,58,0
969,149,2024-01,61,0
970,149,2024-02,44,0
971,149,2024-03,46,1
972,149,2024-04,44,0
973,149,2024-05,45,0
974,149,2024-06,52,1
975,149,2024-07,51,0
976,149,2024-08,47,1
977,149,2024-09,53,1
978,149,2024-10,51,0
979,149,2024-11,47,0
980,149,2024-12,40,0
981,150,2024-01,12,1
982,151,2024-09,30,1
983,151,2024-10,30,0
984,151,2024-11,27,0
985,151,2024-12,33,0
986,153,2024-01,37,1
987,153,2024-02,34,1
988,153,2024-03,29,1
989,153,2024-04,41,0
990,153,2024-05,39,0
991,153,2024-06,37,0
992,153,2024-07,22,1
993,153,2024-08,35,1
994,153,2024-09,34,1
995,153,2024-10,32,1
996,153,2024-11,39,1
997,153,2024-12,39,1
998,154,2024-01,12,0
999,154,2024-02,15,1
1000,154,2024-03,4,1
1001,154,2024-04,7,1
1002,154,2024-05,10,0
1003,154,2024-06,6,1
1004,154,2024-07,13,1
1005,154,2024-08,7,0
1006,154,2024-09,16,1
1007,154,2024-10,5,1
1008,154,2024-11,20,1
1009,154,2024-12,20,1
1010,160,2024-01,3,1
1011,160,2024-02,9,1
1012,160,2024-03,1,1
1013,160,2024-04,9,0
1014,160,2024-05,3,1
1015,160,2024-06,0,0
1016,160,2024-07,0,1
1017,160,2024-08,2,1
1018,160,2024-09,5,1
1019,160,2024-10,10,0
1020,160,2024-11,4,0
1021,162,2024-01,59,0
1022,162,2024-02,51,0
1023,162,2024-03,52,0
1024,162,2024-04,59,0
1025,162,2024-05,41,0
1026,162,2024-06,54,0
1027,162,2024-07,52,0
1028,162,2024-08,60,0
1029,162,2024-09,51,0
1030,162,2024-10,56,0
1031,162,2024-11,58,0
1032,162,2024-12,46,0
1033,167,2024-01,53,1
1034,167,2024-02,51,0
1035,167,2024-03,58,1
1036,167,2024-04,57,1
1037,167,2024-05,52,1
1038,167,2024-06,48,1
1039,167,2024-07,59,0
1040,167,2024-08,53,1
1041,167,2024-09,45,1
1042,167,2024-10,46,0
1043,167,2024-11,56,1
1044,167,2024-12,47,0
1045,168,2024-11,67,1
1046,168,2024-12,53,0
1047,170,2024-04,15,1
1048,170,2024-05,16,1
1049,170,2024-06,12,0
1050,170,2024-07,4,0
1051,170,2024-08,16,1
1052,170,2024-09,12,0
1053,170,2024-10,16,0
1054,170,2024-11,15,0
1055,170,2024-12,17,0
1056,172,2024-01,9,0
1057,172,2024-02,0,0
1058,172,2024-03,0,0
1059,172,2024-04,0,0
1060,172,2024-05,1,0
1061,172,2024-06,4,0
1062,172,2024-07,0,0
1063,172,2024-08,4,0
1064,172,2024-09,1,0
1065,172,2024-10,0,0
1066,172,2024-11,3,0
1067,172,2024-12,0,0
1068,173,2024-01,56,0
